| time |        in        | reset |       out        |
| 1    | 0000000000000000 |   0   | 0000000000000000 |
| 2    | 0000000000000000 |   0   | 0000000000000000 |
| 2+   | 0000000000000001 |   0   | 0000000000000000 |
| 3    | 0000000000000001 |   0   | 0000000000000001 |
| 4    | 0000000000000000 |   0   | 0000000000000001 |
| 5    | 0000000000000000 |   1   | 0000000000000000 |
| 6    | 0000000000000100 |   1   | 0000000000000000 |
| 7    | 0000000000010000 |   0   | 0000000000010000 |
| 8    | 0000000000000011 |   0   | 0000000000010011 |
| 9    | 0000000000000000 |   0   | 0000000000010011 |
| 10   | 0010101001101000 |   1   | 0000000000000000 |
| 11   | 0000000000000001 |   0   | 0000000000000001 |
| 12   | 0000000000000001 |   0   | 0000000000000010 |
| 13   | 0000000000000001 |   0   | 0000000000000011 |
| 14   | 0000000000000001 |   0   | 0000000000000100 |
| 15   | 1010111110100010 |   0   | 1010111110100110 |
| 16   | 0000111100100110 |   0   | 1011111011001100 |
| 17   | 0101010101010101 |   0   | 0001010000100001 |
| 18   | 0101010101010101 |   0   | 0110100101110110 |
| 19   | 1001011010001001 |   0   | 1111111111111111 |
| 20   | 0000000000000000 |   0   | 1111111111111111 |
| 21   | 0000000000000001 |   0   | 0000000000000000 |
| 22   | 0000000000000000 |   0   | 0000000000000000 |
| 23   | 0000000000000001 |   0   | 0000000000000001 |
| 24   | 1111111111111110 |   1   | 0000000000000000 |
