|     a      |     b      |sub|    out     |overflow |
| 0000000000 | 0000000000 | 0 | 0000000000 |    0    |
| 0000000001 | 0000000000 | 1 | 0000000001 |    0    |
| 0000000000 | 0000000001 | 1 | 1111111111 |    0    |
| 0111111111 | 0111111111 | 0 | 1111111110 |    1    |
| 0111111111 | 0000000001 | 0 | 1000000000 |    1    |
| 0111111111 | 0000000001 | 1 | 0111111110 |    0    |
| 1111011000 | 1111011000 | 0 | 1110110000 |    0    |
| 1011111100 | 1100000011 | 0 | 0111111111 |    1    |
| 1001001110 | 1010101101 | 1 | 1110100001 |    0    |
| 0100010010 | 0110101110 | 1 | 1101100100 |    0    |
| 0111111111 | 0100000000 | 0 | 1011111111 |    1    |
| 1000000000 | 1000000000 | 0 | 0000000000 |    1    |
