|        a         |        b         |       out        | carry |
|   000000000000   |   000000000000   |   000000000000   |   0   |
|   000000000001   |   000000000000   |   000000000001   |   0   |
|   000000000001   |   000000000001   |   000000000010   |   0   |
|   000000000010   |   000000000010   |   000000000100   |   0   |
|   000000000100   |   000000001000   |   000000001100   |   0   |
|   000000000101   |   000000000011   |   000000001000   |   0   |
|   000000001111   |   000000001111   |   000000011110   |   0   |
|   000000111111   |   000000111111   |   000001111110   |   0   |
|   000011111111   |   000011111111   |   000111111110   |   0   |
|   111111111111   |   000000000000   |   111111111111   |   0   |
|   111111111111   |   000000000001   |   000000000000   |   1   |
|   111111111111   |   111111111111   |   111111111110   |   1   |
|   100000000000   |   100000000000   |   000000000000   |   1   |
|   011111111111   |   000000000001   |   100000000000   |   0   |
|   011111111111   |   011111111111   |   111111111110   |   0   |
|   011111111111   |   100000000000   |   111111111111   |   0   |
|   001111111111   |   001111111111   |   011111111110   |   0   |
|   111100001111   |   000011110000   |   111111111111   |   0   |
|   010101010101   |   001010101010   |   011111111111   |   0   |
|   000000000001   |   111111111111   |   000000000000   |   1   |
